Model,DPO2004B,,,
Firmware Version,1.56,,,
,,,,
Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.0002,,,
Sample Interval,1.60E-08,,,
Filter Frequency,7.00E+07,,,
Record Length,125000,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,0.02,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
8.58E-04,0.012,0.012,0.0028,0.0068
8.58E-04,-0.004,-0.004,0.0116,-0.0052
8.58E-04,-0.004,0.02,0.0052,0.01
8.58E-04,0.004,-0.012,-0.0004,-0.0044
8.58E-04,0.004,0.012,0.01,0.0124
8.58E-04,0.004,-0.004,0.0148,-0.0004
8.58E-04,0.004,0.012,0.0028,0.01
8.58E-04,-0.004,-0.012,0.0036,-0.0028
8.58E-04,-0.004,0.02,0.0052,0.0156
8.58E-04,-0.004,-0.004,-0.0084,-0.0028
8.58E-04,-0.004,0.012,-0.0004,0.006
8.58E-04,0.004,-0.004,-0.0084,-0.0108
8.58E-04,0.004,0.012,-0.01,0.0148
8.58E-04,0.004,-0.004,0.0036,-0.014
8.58E-04,0.004,0.012,0.0084,0.0196
8.58E-04,0.004,-0.004,0.0044,-0.0092
8.58E-04,-0.004,0.012,0.0004,0.0164
8.58E-04,0.004,-0.004,0.006,-0.0036
8.58E-04,0.004,0.012,0.002,0.01
8.58E-04,0.004,-0.004,0.002,-0.0012
8.58E-04,0.004,0.012,0.0012,0.006
8.58E-04,0.012,-0.004,-0.0052,-0.0012
8.58E-04,0.004,0.004,0.0068,0.0028
8.58E-04,0.004,-0.004,0.0052,-0.0068
8.58E-04,0.004,0.012,0.0012,0.0068
8.58E-04,0.004,-0.004,0.002,-0.0044
8.58E-04,0.004,0.004,0.0068,0.0076
8.58E-04,0.004,-0.004,0.0028,-0.0036
8.58E-04,-0.004,0.012,0.0004,0.0068
8.58E-04,-0.004,-0.012,0.0012,-0.0044
8.58E-04,0.004,0.012,0.0028,0.0092
8.58E-04,-0.004,-0.004,0.0052,0.0004
8.58E-04,-0.004,0.012,0.0068,0.0028
8.58E-04,0.004,-0.004,-0.0036,-0.006
8.58E-04,-0.004,0.012,-0.0004,0.0068
8.58E-04,-0.004,-0.004,0.0012,-0.0052
8.58E-04,0.004,0.012,0.002,0.0076
8.58E-04,-0.004,-0.004,0.0004,-0.0004
8.58E-04,0.004,0.004,0.0004,0.0028
8.58E-04,0.012,-0.004,0.002,-0.002
8.58E-04,0.004,0.012,0.002,0.01
8.58E-04,0.004,-0.004,0.0036,0.0004
8.58E-04,0.012,0.012,-0.0044,0.0044
8.58E-04,0.004,-0.004,0.0036,-0.0044
8.58E-04,-0.004,0.012,0.0108,0.0044
8.59E-04,-0.004,-0.004,0.0012,-0.0084
8.59E-04,-0.004,0.012,0.0028,0.0116
8.59E-04,0.004,-0.004,0.0028,-0.0028
8.59E-04,0.012,0.012,0.0084,0.014
8.59E-04,0.004,-0.004,0.0044,-0.0068
8.59E-04,-0.004,0.012,0.002,0.0108
8.59E-04,0.004,-0.004,0.0036,-0.002
8.59E-04,0.004,0.012,0.0044,0.0108
8.59E-04,-0.004,-0.004,0.0068,0.0004
8.59E-04,-0.004,0.012,0.0028,0.0044
8.59E-04,-0.004,-0.004,-0.0004,-0.0068
8.59E-04,0.004,0.02,0.0004,0.0092
8.59E-04,0.004,-0.004,0.0012,-0.0052
8.59E-04,-0.012,0.012,0.0052,0.006
8.59E-04,0.004,-0.012,-0.002,-0.0004
8.59E-04,0.004,0.012,0.0012,0.0076
8.59E-04,-0.004,-0.004,0.0012,-0.002
8.59E-04,0.004,0.012,0.002,0.0052
8.59E-04,0.004,-0.004,0.0028,-0.0004
8.59E-04,0.004,0.012,-0.0004,0.002
8.59E-04,0.004,-0.004,-0.002,-0.0076
8.59E-04,0.004,0.012,0.0028,0.006
8.59E-04,0.004,-0.004,0.002,-0.0052
8.59E-04,0.004,0.004,0.0012,0.006
8.59E-04,0.012,-0.004,-0.0028,-0.0012
8.59E-04,0.004,0.012,0.0036,0.0028
8.59E-04,0.004,-0.004,0.002,-0.0036
8.59E-04,0.004,0.012,0.0036,0.0092
8.59E-04,0.004,-0.004,0.0028,0.0004
8.59E-04,0.004,0.012,-0.0028,0.0044
8.59E-04,0.004,-0.004,0.0068,-0.0044
8.59E-04,0.004,0.012,0.0028,0.0052
8.59E-04,0.004,-0.004,0.0004,-0.0036
8.59E-04,0.004,0.012,0.0004,0.0068
8.59E-04,-0.004,-0.004,0.0084,-0.002
8.59E-04,0.004,0.004,0.002,0.0044
8.59E-04,0.004,-0.004,0.0036,-0.0036
8.59E-04,0.004,0.012,0.0044,0.0092
8.59E-04,0.004,-0.004,0.0036,-0.0012
8.59E-04,-0.004,0.012,0.0068,0.006
8.59E-04,0.004,-0.004,0.0084,0.002
8.59E-04,0.004,0.012,-0.002,0.0068
8.59E-04,0.004,-0.004,0.002,-0.0044
8.59E-04,0.012,0.012,0.002,0.0108
8.59E-04,-0.004,-0.004,0.0044,-0.0028
8.59E-04,0.004,0.012,0.0012,0.006
8.59E-04,0.004,-0.012,-0.0036,-0.0012
8.59E-04,0.004,0.02,-0.0004,0.014
8.59E-04,0.004,-0.004,0.006,-0.0036
8.59E-04,0.004,0.02,-0.002,0.0092
8.59E-04,0.012,-0.004,-0.0028,-0.0108
8.59E-04,0.004,0.012,0.0092,0.0124
8.59E-04,-0.004,-0.004,0.0148,-0.0076
8.59E-04,0.004,0.02,0.0108,0.0148
8.59E-04,0.004,-0.004,0.0036,-0.0108
8.59E-04,0.004,0.012,-0.0012,0.018
8.59E-04,0.004,0.004,0.0028,-0.0036
8.59E-04,-0.004,0.012,0.0036,0.0108
8.59E-04,0.004,-0.004,0.0036,-0.0028
8.59E-04,0.004,0.012,0.0036,0.0108
8.59E-04,-0.004,-0.004,0.0052,0.0004
8.59E-04,-0.004,0.012,0.0068,0.0052
8.60E-04,0.004,-0.004,0.0028,-0.0052
8.60E-04,0.004,0.02,0.0028,0.0068
8.60E-04,0.004,-0.004,0.0036,-0.002
8.60E-04,0.004,0.004,0.0028,0.0084
8.60E-04,-0.004,-0.004,0.0068,0.002
8.60E-04,-0.004,0.004,-0.002,0.0036
8.60E-04,0.004,-0.004,0.0004,-0.0036
8.60E-04,0.004,0.012,0.002,0.0108
8.60E-04,0.004,-0.004,0.002,-0.0028
8.60E-04,0.004,0.012,0.0028,0.0084
8.60E-04,0.004,-0.004,0.002,0.0012
8.60E-04,0.004,0.012,-0.0004,0.0052
8.60E-04,0.004,-0.004,0.002,-0.0044
8.60E-04,0.004,0.012,0.0036,0.0068
8.60E-04,0.004,-0.004,-0.0004,-0.0004
8.60E-04,0.004,0.012,0.002,0.0036
8.60E-04,0.004,-0.004,0.0068,-0.0044
8.60E-04,0.004,0.012,0.0044,0.0108
8.60E-04,0.004,-0.004,0.0028,-0.0028
8.60E-04,0.004,0.012,0.0028,0.0068
8.60E-04,-0.004,-0.004,-0.0012,0.0012
8.60E-04,0.004,0.012,0.0052,0.0036
8.60E-04,0.004,-0.004,0.0076,-0.0076
8.60E-04,0.004,0.012,0.0028,0.0108
8.60E-04,0.004,-0.004,0.0052,-0.0028
8.60E-04,-0.012,0.012,0.0156,0.0092
8.60E-04,-0.004,-0.012,0.0076,-0.0036
8.60E-04,0.004,0.012,0.0004,0.0156
8.60E-04,0.004,-0.004,0.0036,-0.0084
8.60E-04,0.004,0.012,0.0028,0.0124
8.60E-04,0.012,0.004,0.0052,-0.0004
8.60E-04,0.004,0.012,0.0036,0.0052
8.60E-04,0.004,-0.004,-0.0012,-0.0028
8.60E-04,0.004,0.02,0.0036,0.0076
8.60E-04,0.004,-0.004,0.0036,-0.002
8.60E-04,0.004,0.012,0.002,0.0076
8.60E-04,0.004,-0.004,-0.002,0.002
8.60E-04,0.004,0.012,0.0052,0.0044
8.60E-04,-0.004,-0.004,0.0028,-0.0028
8.60E-04,0.004,0.012,0.0028,0.0124
8.60E-04,-0.004,-0.004,0.0036,0.002
8.60E-04,0.004,0.012,-0.0044,0.0076
8.60E-04,-0.004,-0.004,0.0052,-0.0044
8.60E-04,-0.004,0.012,0.0052,0.006
8.60E-04,0.004,-0.004,0.0028,-0.0036
8.60E-04,0.004,0.012,0.0028,0.0076
8.60E-04,0.004,0.004,0.006,0.0012
8.60E-04,-0.004,0.012,0.0036,0.0052
8.60E-04,-0.004,-0.004,0.0036,-0.0036
8.60E-04,-0.004,0.012,0.0012,0.0116
8.60E-04,0.004,-0.004,0.0012,-0.0012
8.60E-04,-0.004,0.012,0.002,0.006
8.60E-04,0.004,-0.004,0.0076,-0.0004
8.60E-04,0.004,0.012,0.002,0.0036
8.60E-04,0.004,-0.004,0.0012,-0.0068
8.60E-04,-0.004,0.012,0.002,0.0076
8.60E-04,0.004,-0.004,0.002,-0.0012
8.60E-04,0.004,0.012,-0.002,0.0028
8.60E-04,0.004,-0.004,-0.0028,-0.006
8.60E-04,0.004,0.004,-0.0012,0.01
8.60E-04,-0.004,-0.004,0.0004,-0.006
8.60E-04,0.004,0.012,-0.0004,0.0052
8.60E-04,0.004,-0.004,-0.0036,-0.002
8.61E-04,-0.004,0.012,0.002,0.002
8.61E-04,-0.004,-0.004,-0.0004,-0.0068
8.61E-04,-0.004,0.012,0.0004,0.0052
8.61E-04,0.004,-0.012,0.0012,-0.006
8.61E-04,0.012,0.012,-0.006,0.006
8.61E-04,0.004,-0.012,-0.0044,-0.0084
8.61E-04,0.004,0.012,0.0036,0.0068
8.61E-04,-0.004,-0.012,0.006,-0.0084
8.61E-04,-0.004,0.012,0.0108,0.014
8.61E-04,-0.012,-0.004,0.0124,-0.0068
8.61E-04,-0.004,0.012,0.0092,0.0108
8.61E-04,0.004,-0.012,0.0092,-0.0156
8.61E-04,0.004,0.02,-0.0028,0.0132
8.61E-04,0.004,-0.004,-0.0052,-0.0132
8.61E-04,0.004,0.012,-0.0028,0.0148
8.61E-04,0.004,-0.004,0.0092,-0.01
8.61E-04,0.012,0.012,0.0028,0.0108
8.61E-04,0.004,-0.004,0.002,-0.0028
8.61E-04,0.004,0.012,0.0036,0.01
8.61E-04,0.004,-0.004,0.002,0.0004
8.61E-04,0.012,0.004,0.006,0.0044
8.61E-04,0.004,-0.004,0.0036,0.0004
8.61E-04,0.004,0.012,-0.0028,0.0068
8.61E-04,0.004,-0.004,0.002,-0.0052
8.61E-04,0.004,0.012,0.0044,0.0092
8.61E-04,0.012,-0.004,0.0012,-0.002
8.61E-04,0.012,0.012,-0.002,0.006
8.61E-04,-0.004,-0.012,0.0044,-0.002
8.61E-04,0.004,0.012,0.0044,0.0108
8.61E-04,0.004,-0.004,0.0012,-0.002
8.61E-04,-0.004,0.012,0.0028,0.0068
8.61E-04,-0.004,-0.004,-0.006,-0.0004
8.61E-04,-0.004,0.004,0.0012,0.0052
8.61E-04,0.004,-0.004,0.0052,-0.006
8.61E-04,0.004,0.012,0.0012,0.0084
8.61E-04,0.004,-0.004,-0.0004,-0.0036
8.61E-04,-0.012,0.004,0.0044,0.0068
8.61E-04,0.004,-0.012,0.0044,-0.0028
8.61E-04,0.012,0.004,0.002,0.0044
8.61E-04,0.004,-0.004,0.002,-0.006
8.61E-04,0.004,0.012,-0.0004,0.0092
8.61E-04,0.004,-0.004,-0.002,-0.0004
8.61E-04,-0.004,0.012,0.0092,0.0036
8.61E-04,-0.004,-0.004,-0.0012,-0.0068
8.61E-04,-0.004,0.012,-0.0012,0.0092
8.61E-04,-0.004,-0.012,0.0036,-0.0044
8.61E-04,-0.004,0.012,0.0004,0.0092
8.61E-04,0.004,-0.004,-0.0068,-0.0036
8.61E-04,0.004,0.012,-0.0068,0.0036
8.61E-04,-0.004,-0.012,-0.0012,-0.0124
8.61E-04,0.004,0.012,-0.0004,0.0132
8.61E-04,0.004,-0.004,0.002,-0.006
8.61E-04,-0.004,0.004,-0.0028,0.006
8.61E-04,-0.004,-0.004,-0.002,-0.0028
8.61E-04,0.004,0.012,0.0028,0.0044
8.61E-04,0.004,-0.004,0.002,-0.0052
8.61E-04,0.004,0.004,0.0028,0.0068
8.61E-04,-0.004,-0.004,-0.002,-0.002
8.61E-04,-0.004,0.012,0.0028,0.0044
8.61E-04,0.004,-0.004,0.006,-0.006
8.61E-04,0.004,0.012,0.0004,0.0092
8.61E-04,0.004,-0.004,0.0004,-0.0036
8.62E-04,-0.004,0.004,-0.0004,0.0068
8.62E-04,0.004,-0.004,0.0028,-0.002
8.62E-04,0.004,0.004,0.0044,0.0036
8.62E-04,0.004,-0.004,0.002,-0.0076
8.62E-04,0.004,0.012,-0.0004,0.0084
8.62E-04,0.004,-0.004,0.0004,-0.0036
8.62E-04,0.004,0.004,0.006,0.0036
8.62E-04,0.004,-0.004,-0.0036,-0.0036
8.62E-04,0.004,0.012,-0.0028,0.0092
8.62E-04,0.004,-0.004,0.0012,-0.0076
8.62E-04,-0.004,0.012,0.002,0.0068
8.62E-04,0.004,-0.004,0.0012,-0.0036
8.62E-04,-0.004,0.004,-0.0036,0.002
8.62E-04,-0.004,-0.004,-0.006,-0.0108
8.62E-04,-0.004,0.012,-0.0004,0.0076
8.62E-04,-0.004,-0.004,0.0004,-0.0068
8.62E-04,0.004,0.004,-0.0028,0.006
8.62E-04,0.004,-0.004,-0.0028,-0.0028
8.62E-04,-0.004,0.012,0.006,0.0012
8.62E-04,-0.004,-0.004,0.0012,-0.0076
8.62E-04,0.004,0.012,-0.0004,0.0076
8.62E-04,-0.004,-0.004,-0.0004,-0.0036
8.62E-04,-0.004,0.004,-0.006,0.0052
8.62E-04,0.004,-0.004,0.006,-0.0084
8.62E-04,0.004,0.012,0.0028,0.0036
8.62E-04,0.012,-0.012,-0.0036,-0.006
8.62E-04,-0.012,0.012,0.0044,0.006
8.62E-04,-0.004,-0.012,0.0116,-0.0052
8.62E-04,-0.004,0.012,0.0052,0.0044
8.62E-04,-0.004,-0.012,0.0036,-0.0068
8.62E-04,0.004,0.02,0.0028,0.0116
8.62E-04,0.012,-0.004,-0.0052,-0.0076
8.62E-04,0.012,0.012,0.002,0.0068
8.62E-04,0.004,-0.004,-0.0028,-0.0124
8.62E-04,0.004,0.012,-0.0148,0.0116
8.62E-04,-0.004,-0.004,-0.0044,-0.0148
8.62E-04,-0.004,0.012,0.0044,0.0164
8.62E-04,0.004,-0.004,0.0044,-0.014
8.62E-04,0.004,0.012,-0.0004,0.0148
8.62E-04,0.004,-0.004,0.002,-0.0044
8.62E-04,-0.004,0.012,0.0028,0.01
8.62E-04,-0.004,-0.004,0.002,-0.0028
8.62E-04,0.004,0.012,0.002,0.0036
8.62E-04,-0.004,-0.004,-0.006,0.0004
8.62E-04,-0.004,0.004,0.0012,0.0036
8.62E-04,0.004,-0.004,0.006,-0.0076
8.62E-04,0.004,0.012,0.0028,0.0092
8.62E-04,0.004,-0.004,0.002,-0.0044
8.62E-04,-0.004,0.012,0.0028,0.0076
8.62E-04,0.004,-0.004,0.006,-0.0028
8.62E-04,0.004,0.012,0.0028,0.0044
8.62E-04,0.004,-0.004,0.0028,-0.0028
8.62E-04,-0.004,0.012,-0.0012,0.0084
8.62E-04,0.004,-0.004,0.002,-0.0012
8.62E-04,0.004,0.012,0.0076,0.0036
8.62E-04,0.004,-0.004,0.002,-0.0076
8.62E-04,0.004,0.012,-0.0012,0.0076
8.62E-04,-0.004,-0.004,0.0004,-0.0044
8.62E-04,0.004,0.012,-0.0004,0.0068
8.62E-04,0.004,-0.004,0.002,-0.002
8.62E-04,-0.004,0.012,-0.0044,0.0036
8.62E-04,-0.004,-0.004,0.0004,-0.0068
8.62E-04,-0.004,0.012,0.002,0.0084
8.63E-04,0.004,-0.004,0.0028,-0.0044
8.63E-04,-0.004,0.012,-0.0004,0.006
8.63E-04,0.004,-0.004,-0.002,-0.0044
8.63E-04,0.004,0.012,-0.0012,0.0036
8.63E-04,0.004,-0.012,-0.0044,-0.01
8.63E-04,0.004,0.012,-0.002,0.0116
8.63E-04,-0.004,-0.012,-0.0028,-0.0052
8.63E-04,0.004,0.012,0.0028,0.0092
8.63E-04,0.004,-0.004,0.0052,-0.0108
8.63E-04,0.004,0.012,0.0036,0.0108
8.63E-04,0.004,-0.004,0.0004,-0.006
8.63E-04,0.004,0.012,0.0012,0.0124
8.63E-04,0.004,-0.004,-0.002,-0.0012
8.63E-04,0.004,0.012,0.0052,0.0028
8.63E-04,0.004,-0.004,0.0036,-0.0068
8.63E-04,-0.004,0.012,-0.0004,0.006
8.63E-04,0.004,-0.004,0.0012,-0.0036
8.63E-04,0.004,0.012,0.0076,0.0052
8.63E-04,0.004,-0.004,0.0012,-0.002
8.63E-04,-0.004,0.012,-0.0004,0.0076
8.63E-04,0.004,-0.004,0.0004,-0.0044
8.63E-04,0.004,0.012,0.0036,0.0076
8.63E-04,0.004,-0.004,0.0076,-0.002
8.63E-04,-0.004,0.004,0.0036,0.0044
8.63E-04,-0.004,-0.004,-0.0036,-0.0076
8.63E-04,-0.004,0.012,-0.0004,0.0076
8.63E-04,0.004,-0.004,0.002,-0.0044
8.63E-04,-0.004,0.012,0.0012,0.0068
8.63E-04,0.004,-0.004,-0.0044,-0.0004
8.63E-04,0.004,0.012,0.0036,0.002
8.63E-04,-0.004,-0.004,0.0044,-0.0044
8.63E-04,0.004,0.012,0.0028,0.0092
8.63E-04,0.004,-0.004,0.0012,-0.0036
8.63E-04,0.004,0.012,-0.006,0.006
8.63E-04,0.004,-0.004,0.0044,-0.006
8.63E-04,0.004,0.012,0.0052,0.006
8.63E-04,0.004,-0.004,0.0012,-0.0052
8.63E-04,-0.004,0.012,0.0028,0.0076
8.63E-04,0.004,-0.004,0.0044,-0.002
8.63E-04,0.004,0.004,0.0052,0.0052
8.63E-04,-0.004,-0.004,0.0028,-0.0044
8.63E-04,-0.004,0.012,0.0012,0.0092
8.63E-04,0.004,-0.004,0.002,-0.0012
8.63E-04,0.012,0.004,0.0012,0.006
8.63E-04,-0.004,-0.004,0.0068,-0.0004
8.63E-04,-0.004,0.012,-0.0004,0.0036
8.63E-04,-0.004,-0.004,-0.002,-0.0076
8.63E-04,0.004,0.012,-0.0012,0.0068
8.63E-04,0.004,-0.012,0.0028,-0.0052
8.63E-04,0.004,0.012,-0.002,0.0036
8.63E-04,0.004,-0.012,-0.006,-0.0044
8.63E-04,0.004,0.012,-0.0044,0.0108
8.63E-04,-0.004,-0.004,0.0004,-0.0068
8.63E-04,-0.004,0.012,-0.0108,0.006
8.63E-04,-0.004,-0.004,-0.01,-0.0132
8.63E-04,0.004,0.012,-0.0076,0.0084
8.63E-04,0.004,-0.004,0.0052,-0.014
8.63E-04,0.004,0.012,0.0076,0.01
8.63E-04,-0.004,-0.004,0.0044,-0.0156
8.63E-04,-0.004,0.012,-0.0012,0.014
8.63E-04,0.004,-0.012,0.0012,-0.0052
8.63E-04,0.004,0.012,0.0028,0.006
8.64E-04,-0.004,-0.004,-0.0012,-0.0044
8.64E-04,0.004,0.012,-0.002,0.0044
8.64E-04,0.004,-0.004,-0.0012,-0.0028
8.64E-04,-0.004,0.004,0.002,0.0036
8.64E-04,0.004,-0.004,0.006,-0.0076
8.64E-04,0.004,0.004,0.002,0.0068
8.64E-04,0.004,-0.004,0.002,-0.0052
8.64E-04,0.012,0.004,0.0004,0.0068
8.64E-04,0.004,-0.004,0.0076,-0.0004
8.64E-04,-0.004,0.012,-0.0004,0.0036
8.64E-04,0.004,-0.004,0.0004,-0.0036
8.64E-04,0.004,0.012,0.0028,0.0092
8.64E-04,0.004,-0.004,0.0028,-0.0012
8.64E-04,-0.004,0.012,0.006,0.0044
8.64E-04,-0.004,-0.004,0.0004,0.0012
8.64E-04,0.004,0.012,-0.002,0.0076
8.64E-04,0.004,-0.004,0.0052,-0.0052
8.64E-04,0.004,0.012,0.0036,0.0084
8.64E-04,-0.004,-0.004,0.0036,-0.0004
8.64E-04,0.004,0.012,0.0012,0.0052
8.64E-04,0.012,-0.004,0.006,0.0004
8.64E-04,0.004,0.012,0.0028,0.0084
8.64E-04,-0.004,-0.004,0.0028,0.0004
8.64E-04,0.012,0.012,0.0036,0.006
8.64E-04,0.004,-0.004,-0.0012,0.0004
8.64E-04,0.004,0.012,0.0092,0.0044
8.64E-04,-0.004,-0.012,0.0116,-0.0036
8.64E-04,-0.004,0.012,0.0028,0.0108
8.64E-04,-0.004,-0.012,0.0028,-0.0036
8.64E-04,0.004,0.012,0.01,0.0116
8.64E-04,-0.004,-0.004,0.0116,-0.002
8.64E-04,0.004,0.004,0.002,0.01
8.64E-04,0.004,-0.004,0.0036,-0.0084
8.64E-04,-0.004,0.012,0.0036,0.0132
8.64E-04,-0.004,-0.004,0.0036,-0.0012
8.64E-04,-0.004,0.004,0.0036,0.0044
8.64E-04,-0.004,-0.004,-0.0036,-0.0044
8.64E-04,0.004,0.012,0.0004,0.006
8.64E-04,-0.004,-0.004,0.0004,-0.0052
8.64E-04,-0.012,0.012,0.0012,0.0052
8.64E-04,-0.004,-0.012,-0.0012,-0.0012
8.64E-04,-0.004,0.004,-0.0012,0.0012
8.64E-04,-0.004,-0.012,-0.0012,-0.0036
8.64E-04,-0.004,0.012,-0.002,0.0052
8.64E-04,-0.004,-0.004,-0.0028,-0.0028
8.64E-04,-0.004,0.012,-0.0052,0.0028
8.64E-04,0.004,-0.004,-0.002,-0.0052
8.64E-04,0.004,0.012,0.0028,0.0044
8.64E-04,0.004,-0.004,0.002,-0.0076
8.64E-04,0.004,0.004,0.0028,0.0068
8.64E-04,0.004,-0.004,-0.0036,-0.0036
8.64E-04,0.004,0.004,-0.0004,0.0052
8.64E-04,0.004,-0.004,0.002,-0.0052
8.64E-04,0.004,0.012,0.0012,0.0044
8.64E-04,0.004,-0.004,0.0044,-0.0028
8.64E-04,0.004,0.004,0.0012,0.002
8.64E-04,-0.004,-0.004,0.0012,-0.002
8.64E-04,-0.004,0.012,0.0028,0.0044
8.64E-04,-0.004,-0.004,0.0012,-0.0052
8.64E-04,0.004,0.012,0.0012,0.0052
8.64E-04,-0.004,-0.004,0.0012,-0.0044
8.64E-04,0.004,0.004,0.0068,0.0036
8.64E-04,-0.004,-0.004,0.0004,-0.0028
8.65E-04,-0.004,0.012,0.0004,0.0068
8.65E-04,0.004,-0.004,0.0012,-0.0036
8.65E-04,-0.004,0.012,0.0012,0.0052
8.65E-04,-0.004,-0.004,0.0044,-0.0004
8.65E-04,-0.004,0.012,0.0028,0.0036
8.65E-04,0.004,-0.012,-0.0028,-0.0068
8.65E-04,0.004,0.012,0.0004,0.0076
8.65E-04,-0.004,-0.012,0.0044,-0.0036
8.65E-04,-0.004,0.012,-0.002,0.0076
8.65E-04,-0.004,-0.012,-0.0044,-0.0036
8.65E-04,-0.004,0.012,-0.0044,0.0068
8.65E-04,0.004,-0.004,0.0004,-0.0068
8.65E-04,0.004,0.012,0.0076,0.0084
8.65E-04,0.012,-0.004,0.0084,-0.0052
8.65E-04,0.004,0.012,0.0036,0.0076
8.65E-04,-0.004,-0.004,0.0148,-0.0148
8.65E-04,-0.004,0.012,0.0092,0.0124
8.65E-04,-0.004,-0.012,-0.0004,-0.0164
8.65E-04,0.004,0.012,-0.0076,0.0148
8.65E-04,-0.004,-0.004,0.0012,-0.0124
8.65E-04,-0.004,0.004,0.0004,0.0108
8.65E-04,0.004,-0.012,0.0012,-0.0076
8.65E-04,-0.004,0.004,0.0004,0.0068
8.65E-04,-0.004,-0.004,0.0012,-0.002
8.65E-04,-0.004,0.012,0.0052,0.002
8.65E-04,-0.004,-0.004,0.0036,-0.0012
8.65E-04,0.004,0.012,-0.0028,0.0052
8.65E-04,-0.004,-0.004,-0.0012,-0.0052
8.65E-04,-0.004,0.012,0.002,0.006
8.65E-04,-0.004,-0.004,0.0028,-0.0044
8.65E-04,0.004,0.004,-0.0028,0.0052
8.65E-04,0.004,-0.004,0.0004,-0.0028
8.65E-04,0.004,0.012,0.002,0.0084
8.65E-04,0.004,-0.004,0.002,-0.0028
8.65E-04,0.012,0.012,0.0012,0.0068
8.65E-04,0.004,-0.004,-0.0036,-0.0012
8.65E-04,0.012,0.012,0.002,0.0036
8.65E-04,0.004,-0.004,0.0052,-0.006
8.65E-04,-0.004,0.012,0.002,0.0076
8.65E-04,0.004,-0.004,0.0004,-0.0036
8.65E-04,0.004,0.012,0.0012,0.006
8.65E-04,0.004,-0.004,0.0068,-0.0036
8.65E-04,0.004,0.012,0.0044,0.0052
8.65E-04,0.004,0.004,0.0004,-0.0044
8.65E-04,-0.004,0.012,0.0012,0.01
8.65E-04,0.004,-0.004,0.0012,-0.0012
8.65E-04,0.004,0.012,0.0068,0.0028
8.65E-04,0.004,-0.004,0.0004,-0.006
8.65E-04,0.004,0.012,-0.002,0.0068
8.65E-04,0.004,-0.012,0.002,-0.0076
8.65E-04,-0.004,0.012,0.0028,0.0116
8.65E-04,-0.004,-0.004,-0.0012,-0.0036
8.65E-04,0.004,0.012,-0.0052,0.0028
8.65E-04,-0.004,-0.004,-0.0036,-0.0108
8.65E-04,0.004,0.012,-0.002,0.0116
8.65E-04,0.004,-0.004,-0.002,-0.0068
8.65E-04,0.004,0.012,-0.002,0.0036
8.65E-04,0.004,-0.004,-0.002,-0.0028
8.65E-04,0.004,0.012,-0.0004,0.0028
8.65E-04,0.004,-0.004,0.0012,-0.0068
8.65E-04,0.004,0.012,-0.0012,0.0044
8.65E-04,0.004,-0.004,-0.006,-0.0044
8.66E-04,0.004,0.012,-0.0012,0.0036
8.66E-04,-0.004,-0.004,0.002,-0.0076
8.66E-04,-0.004,0.012,-0.0012,0.0068
8.66E-04,-0.004,-0.004,0.0012,-0.006
8.66E-04,0.004,0.012,0.0004,0.0028
8.66E-04,0.004,-0.004,-0.0044,-0.002
8.66E-04,-0.004,0.012,0.0028,0.0012
8.66E-04,-0.004,-0.004,-0.0004,-0.0068
8.66E-04,-0.004,0.012,-0.0028,0.0036
8.66E-04,-0.004,-0.004,0.002,-0.0052
8.66E-04,-0.004,0.012,0.0092,0.0036
8.66E-04,0.004,-0.004,0.0012,-0.0044
8.66E-04,0.004,0.012,0.0004,0.0092
8.66E-04,0.004,-0.004,0.0004,-0.0052
8.66E-04,-0.004,0.012,0.0012,0.0076
8.66E-04,-0.004,-0.004,0.0076,-0.002
8.66E-04,0.004,0.012,0.006,0.0028
8.66E-04,0.004,-0.004,-0.0004,-0.0076
8.66E-04,0.004,0.012,0.0036,0.0076
8.66E-04,0.004,-0.004,0.002,-0.002
8.66E-04,-0.004,0.012,-0.0004,0.0044
8.66E-04,0.004,-0.004,-0.006,-0.0012
8.66E-04,0.004,0.012,0.0012,0.0052
8.66E-04,-0.004,-0.004,0.002,-0.006
8.66E-04,0.004,0.012,0.002,0.0108
8.66E-04,0.012,-0.004,-0.0004,-0.0004
8.66E-04,0.004,0.012,-0.0068,0.0068
8.66E-04,-0.004,-0.004,0.0044,-0.0068
8.66E-04,-0.004,0.012,0.0036,0.0052
8.66E-04,0.004,-0.012,-0.0028,-0.0076
8.66E-04,0.012,0.012,0.0036,0.0076
8.66E-04,0.012,-0.004,0.0044,-0.0028
8.66E-04,0.004,0.012,0.0052,0.0036
8.66E-04,0.004,-0.012,0.0052,-0.0068
8.66E-04,0.004,0.012,0.0044,0.01
8.66E-04,-0.004,-0.004,0.0012,-0.0084
8.66E-04,-0.004,0.012,0.0028,0.0052
8.66E-04,0.004,-0.012,0.0028,-0.0156
8.66E-04,0.004,0.02,-0.0076,0.01
8.66E-04,0.004,-0.004,-0.0076,-0.0092
8.66E-04,0.004,0.012,-0.002,0.0116
8.66E-04,-0.004,-0.004,0.0028,-0.0124
8.66E-04,0.004,0.012,0.0052,0.0108
